imdbId,director_name
39502,Roy Del Ruth
39566,Michael Curtiz
39628,George Seaton
39631,Charles Chaplin
39689,Jacques Tourneur
39694,Alfred Hitchcock
39808,Norman Z. McLeod
39853,Edward Buzzell
40068,Walter Lantz
40068,Charles Barton
40202,Henry Hathaway
40308,Charles Walters
40338,Carol Reed
40416,Laurence Olivier
40458,George Stevens
40495,Jean Negulesco
40497,Jacques Tati
40506,John Huston
40522,Vittorio De Sica
40525,Orson Welles
40613,H.C. Potter
40662,David Lean
40724,Howard Hawks
40724,Arthur Rosson
40725,Michael Powell
40725,Emeric Pressburger
40746,Alfred Hitchcock
40806,Anatole Litvak
40823,Anatole Litvak
40876,George Sidney
40897,John Huston
40919,Preston Sturges
41090,George Cukor
41094,James Algar
41094,Jack Kinney
41094,Clyde Geronimi
41113,Robert Rossen
41190,Frank Launder
41386,King Vidor
41414,Jacqueline Audry
41452,William Wyler
41497,Samuel Fuller
41498,Howard Hawks
41509,Henry Koster
41546,Robert Hamer
41587,Joseph L. Mankiewicz
41594,Mervyn LeRoy
41650,Ernest B. Schoedsack
41699,Akira Kurosawa
41716,Gene Kelly
41716,Stanley Donen
41841,Allan Dwan
41842,Georges Franju
41866,John Ford
41959,Carol Reed
41968,Byron Haskin
41996,Henry King
42041,Raoul Walsh
42192,Joseph L. Mankiewicz
42200,George Sidney
42200,Busby Berkeley
42208,John Huston
42276,George Cukor
42286,Delmer Daves
42327,Walter Lang
42332,Wilfred Jackson
42332,Clyde Geronimi
42332,Hamilton Luske
42369,Rudolph Maté
42451,Vincente Minnelli
42546,Henry Koster
42593,Nicholas Ray
42619,Robert Bresson
42646,Compton Bennett
42646,Andrew Marton
42665,Henry Cass
42804,Luis Buñuel
42876,Akira Kurosawa
42895,John Ford
42994,Alfred Hitchcock
43014,Billy Wilder
43067,Byron Haskin
43137,Anthony Mann
43147,Jack Lee
43147,Ian Dalrymple
43265,John Huston
43274,Clyde Geronimi
43274,Hamilton Luske
43274,Wilfred Jackson
43274,Jack Kinney
43278,Vincente Minnelli
43338,Billy Wilder
43362,Anthony Asquith
43379,Raoul Walsh
43456,Robert Wise
43618,H. Bruce Humberstone
43686,René Clément
43915,Joseph L. Mankiewicz
43918,Julien Duvivier
43924,George Stevens
43949,Mervyn LeRoy
43949,Anthony Mann
43961,John Huston
43983,Stanley Donen
44008,Brian Desmond Hurst
44030,George Sidney
44079,Alfred Hitchcock
44081,Elia Kazan
44121,Christian Nyby
44121,Howard Hawks
44207,Rudolph Maté
44391,Vincente Minnelli
44509,Daniel Mann
44517,Robert Siodmak
44706,Fred Zinnemann
44741,Akira Kurosawa
44744,Anthony Asquith
