imdbId,ordering,actor_name,category,characters
18037,3,Warner Oland,actor,The Cantor
18037,4,Eugenie Besserer,actress,Sara Rabinowitz
18328,1,Carl Brisson,actor,One-Round' Jack Sander
18328,2,Lillian Hall-Davis,actress,Mabel - The Girl
18328,3,Ian Hunter,actor,Bob Corby
18328,4,Forrester Harvey,actor,The Promoter
18328,8,Harry Terry,actor,The Showman
18328,9,Gordon Harker,actor,Jack's Trainer
18455,1,George O'Brien,actor,The Man
18455,2,Janet Gaynor,actress,The Wife
18455,3,Margaret Livingston,actress,The Woman From the City
18455,4,Bodil Rosing,actress,The Maid
18773,1,Charles Chaplin,actor,A Tramp
18773,2,Merna Kennedy,actress,The Proprietor's Step-Daughter Merna - A Circus Rider
18773,3,Al Ernest Garcia,actor,The Circus Proprietor and Ring Master
18773,4,Harry Crocker,actor,Rex - A Tight Rope Walker
18773,6,George Davis,actor,A Magician
18773,7,Henry Bergman,actor,An Old Clown
18773,8,Tiny Sandford,actor,The Head Property Man
18773,9,John Rand,actor,An Assistant Property Man
18773,10,Steve Murphy,actor,A Pickpocket
19254,1,Maria Falconetti,actress,Jeanne d'Arc
19254,2,Eugene Silvain,actor,Évêque Pierre Cauchon (Bishop Pierre Cauchon)
19254,3,André Berley,actor,Jean d'Estivet
19254,4,Maurice Schutz,actor,Nicolas Loyseleur
19421,1,Buster Keaton,actor,William Canfield Jr.
19421,2,Tom McGuire,actor,J.J. King
19421,3,Ernest Torrence,actor,William 'Steamboat Bill' Canfield
19421,4,Tom Lewis,actor,Tom Carter - First and Last Mate
19422,1,Charlotte Jamquie,actress,Minnie Mouse
19422,2,Walt Disney,actor,Mickey Mouse|Minnie Mouse|Peg-Leg Pete
19729,1,Bessie Love,actress,Harriet 'Hank' Mahoney
19729,2,Anita Page,actress,Queenie Mahoney
19729,3,Charles King,actor,Eddie Kearns
19729,4,Eddie Kane,actor,Francis Zanfield
19760,1,Mikhail Kaufman,actor,The Cameraman
19760,2,Elizaveta Svilova,actress,Woman editing film
19777,1,Groucho Marx,actor,Hammer
19777,2,Harpo Marx,actor,Harpo
19777,3,Chico Marx,actor,Chico
19777,4,Zeppo Marx,actor,Jamison
19777,10,The Marx Brothers,actor,Marx Brothers
20530,1,Pierre Batcheff,actor,Man
20530,2,Simone Mareuil,actress,Young Girl
20530,3,Luis Buñuel,actor,Man in Prologue
